"siteno","station_nm","coords.x1","coords.x2"
"07385500","BAYOU TECHE @ ARNAUDVILLE",-91.9306728,30.3974195
"08041500","Village Ck nr Kountze",-94.2635215,30.3979862
"02378300","MAGNOLIA RIVER AT US 98 NEAR FOLEY",-87.7369323,30.40658669
"08109800","E Yegua Ck nr Dime Box",-96.8174791,30.40743105
"08110100","Davidson Ck nr Lyons",-96.5402466,30.41965196
"08154000","Pedernales Rv nr Spicewood",-98.0808487,30.4210311
"02358700","APALACHICOLA RIVER NR BLOUNTSTOWN",-85.0313059,30.42519625
"08066500","Trinity Rv at Romayor",-94.8507622,30.4252067
"02330100","TELOGIA CREEK NR BRISTOL",-84.92769349,30.426585
"07386500","BYU BOURBEAU @ SHUTESTON",-92.0917879,30.42797613
"08030000","Cypress Ck nr Buna",-93.9079544,30.4313169
"02376100","BAYOU MARCUS CREEK NR PENSACOLA",-87.2905288,30.44825279
"08159150","Wilbarger Ck nr Pflugerville",-97.6008373,30.4546469
"07378500","Amite River near Denham Springs",-90.99038,30.464079
"08016400","BECKWITH CK NR DE QUINCY",-93.3598842,30.471033
"08012000","Bayou Nezpique near Basile",-92.63175,30.48077778
"08066300","Menard Ck nr Rye",-94.7797222,30.48138889
"02359450","ECONFINA CREEK NEAR FOUNTAIN",-85.52492729,30.48213846
"02319300","WITHLACOOCHEE RIVER NR MADISON FLA",-83.2429207,30.48243547
"02481510","WOLF RIVER NR LANDON",-89.2744444,30.4836111
"02376115","ELEVENMILE CREEK NEAR PENSACOLA",-87.3358086,30.49825159
"02471078","FOWL RIVER AT HALF-MILE RD NEAR LAURENDINE",-88.1813906,30.50075106
